,Topic,Discipline,Quantity
263,23,ECONOMICS & BUSINESS,0
264,24,ECONOMICS & BUSINESS,0
265,25,ECONOMICS & BUSINESS,0
266,26,ECONOMICS & BUSINESS,0
267,27,ECONOMICS & BUSINESS,0
268,28,ECONOMICS & BUSINESS,0
269,29,ECONOMICS & BUSINESS,0
270,30,ECONOMICS & BUSINESS,0
271,31,ECONOMICS & BUSINESS,0
272,32,ECONOMICS & BUSINESS,0
273,33,ECONOMICS & BUSINESS,0
274,34,ECONOMICS & BUSINESS,0
275,35,ECONOMICS & BUSINESS,0
276,36,ECONOMICS & BUSINESS,0
277,37,ECONOMICS & BUSINESS,0
278,38,ECONOMICS & BUSINESS,0
279,39,ECONOMICS & BUSINESS,0
280,40,ECONOMICS & BUSINESS,0
281,41,ECONOMICS & BUSINESS,0
282,42,ECONOMICS & BUSINESS,0
283,43,ECONOMICS & BUSINESS,0
284,44,ECONOMICS & BUSINESS,0
285,45,ECONOMICS & BUSINESS,0
286,46,ECONOMICS & BUSINESS,0
287,47,ECONOMICS & BUSINESS,0
288,0,CLINICAL MEDICINE,1
289,1,CLINICAL MEDICINE,44
290,2,CLINICAL MEDICINE,22
291,3,CLINICAL MEDICINE,0
292,4,CLINICAL MEDICINE,170
293,5,CLINICAL MEDICINE,8
294,6,CLINICAL MEDICINE,259
295,7,CLINICAL MEDICINE,85
296,8,CLINICAL MEDICINE,12
297,9,CLINICAL MEDICINE,169
298,10,CLINICAL MEDICINE,32
299,11,CLINICAL MEDICINE,121
300,12,CLINICAL MEDICINE,37
301,13,CLINICAL MEDICINE,96
302,14,CLINICAL MEDICINE,19
303,15,CLINICAL MEDICINE,46
304,16,CLINICAL MEDICINE,95
305,17,CLINICAL MEDICINE,59
306,18,CLINICAL MEDICINE,33
307,19,CLINICAL MEDICINE,54
308,20,CLINICAL MEDICINE,7
309,21,CLINICAL MEDICINE,0
310,22,CLINICAL MEDICINE,0
311,23,CLINICAL MEDICINE,0
312,24,CLINICAL MEDICINE,68
313,25,CLINICAL MEDICINE,1
314,26,CLINICAL MEDICINE,2
315,27,CLINICAL MEDICINE,8
316,28,CLINICAL MEDICINE,10
317,29,CLINICAL MEDICINE,4
318,30,CLINICAL MEDICINE,0
319,31,CLINICAL MEDICINE,14
320,32,CLINICAL MEDICINE,32
321,33,CLINICAL MEDICINE,0
322,34,CLINICAL MEDICINE,12
323,35,CLINICAL MEDICINE,5
324,36,CLINICAL MEDICINE,0
325,37,CLINICAL MEDICINE,28
326,38,CLINICAL MEDICINE,2
327,39,CLINICAL MEDICINE,0
328,40,CLINICAL MEDICINE,1
329,41,CLINICAL MEDICINE,7
330,42,CLINICAL MEDICINE,22
331,43,CLINICAL MEDICINE,2
332,44,CLINICAL MEDICINE,0
333,45,CLINICAL MEDICINE,0
334,46,CLINICAL MEDICINE,3
335,47,CLINICAL MEDICINE,7
336,0,MATHEMATICS,0
337,1,MATHEMATICS,0
338,2,MATHEMATICS,0
339,3,MATHEMATICS,0
340,4,MATHEMATICS,0
341,5,MATHEMATICS,0
342,6,MATHEMATICS,0
343,7,MATHEMATICS,0
344,8,MATHEMATICS,0
345,9,MATHEMATICS,0
346,10,MATHEMATICS,0
347,11,MATHEMATICS,0
348,12,MATHEMATICS,0
349,13,MATHEMATICS,0
350,14,MATHEMATICS,0
351,15,MATHEMATICS,0
352,16,MATHEMATICS,1
353,17,MATHEMATICS,1
354,18,MATHEMATICS,0
355,19,MATHEMATICS,0
356,20,MATHEMATICS,0
357,21,MATHEMATICS,0
358,22,MATHEMATICS,0
359,23,MATHEMATICS,0
360,24,MATHEMATICS,0
361,25,MATHEMATICS,0
362,26,MATHEMATICS,0
363,27,MATHEMATICS,0
364,28,MATHEMATICS,0
365,29,MATHEMATICS,0
366,30,MATHEMATICS,0
367,31,MATHEMATICS,0
368,32,MATHEMATICS,0
369,33,MATHEMATICS,0
370,34,MATHEMATICS,0
371,35,MATHEMATICS,0
372,36,MATHEMATICS,0
373,37,MATHEMATICS,0
374,38,MATHEMATICS,0
375,39,MATHEMATICS,0
376,40,MATHEMATICS,0
377,41,MATHEMATICS,0
378,42,MATHEMATICS,0
379,43,MATHEMATICS,0
380,44,MATHEMATICS,0
381,45,MATHEMATICS,0
382,46,MATHEMATICS,0
383,47,MATHEMATICS,0
384,0,PSYCHIATRY/PSYCHOLOGY,0
385,1,PSYCHIATRY/PSYCHOLOGY,1
386,2,PSYCHIATRY/PSYCHOLOGY,0
387,3,PSYCHIATRY/PSYCHOLOGY,0
388,4,PSYCHIATRY/PSYCHOLOGY,1
389,5,PSYCHIATRY/PSYCHOLOGY,0
390,6,PSYCHIATRY/PSYCHOLOGY,3
391,7,PSYCHIATRY/PSYCHOLOGY,2
392,8,PSYCHIATRY/PSYCHOLOGY,0
393,9,PSYCHIATRY/PSYCHOLOGY,0
394,10,PSYCHIATRY/PSYCHOLOGY,0
395,11,PSYCHIATRY/PSYCHOLOGY,0
396,12,PSYCHIATRY/PSYCHOLOGY,0
397,13,PSYCHIATRY/PSYCHOLOGY,0
398,14,PSYCHIATRY/PSYCHOLOGY,0
