,Topic,Discipline,Quantity
262,55,GEOSCIENCES,0
263,56,GEOSCIENCES,0
264,57,GEOSCIENCES,0
265,58,GEOSCIENCES,0
266,59,GEOSCIENCES,0
267,60,GEOSCIENCES,0
268,61,GEOSCIENCES,0
269,62,GEOSCIENCES,0
270,63,GEOSCIENCES,0
271,64,GEOSCIENCES,0
272,65,GEOSCIENCES,0
273,66,GEOSCIENCES,0
274,67,GEOSCIENCES,0
275,68,GEOSCIENCES,0
276,0,PHARMACOLOGY & TOXICOLOGY,60
277,1,PHARMACOLOGY & TOXICOLOGY,36
278,2,PHARMACOLOGY & TOXICOLOGY,8
279,3,PHARMACOLOGY & TOXICOLOGY,6
280,4,PHARMACOLOGY & TOXICOLOGY,26
281,5,PHARMACOLOGY & TOXICOLOGY,37
282,6,PHARMACOLOGY & TOXICOLOGY,0
283,7,PHARMACOLOGY & TOXICOLOGY,19
284,8,PHARMACOLOGY & TOXICOLOGY,1
285,9,PHARMACOLOGY & TOXICOLOGY,4
286,10,PHARMACOLOGY & TOXICOLOGY,27
287,11,PHARMACOLOGY & TOXICOLOGY,30
288,12,PHARMACOLOGY & TOXICOLOGY,1
289,13,PHARMACOLOGY & TOXICOLOGY,1
290,14,PHARMACOLOGY & TOXICOLOGY,32
291,15,PHARMACOLOGY & TOXICOLOGY,3
292,16,PHARMACOLOGY & TOXICOLOGY,10
293,17,PHARMACOLOGY & TOXICOLOGY,3
294,18,PHARMACOLOGY & TOXICOLOGY,3
295,19,PHARMACOLOGY & TOXICOLOGY,1
296,20,PHARMACOLOGY & TOXICOLOGY,5
297,21,PHARMACOLOGY & TOXICOLOGY,15
298,22,PHARMACOLOGY & TOXICOLOGY,6
299,23,PHARMACOLOGY & TOXICOLOGY,12
300,24,PHARMACOLOGY & TOXICOLOGY,0
301,25,PHARMACOLOGY & TOXICOLOGY,3
302,26,PHARMACOLOGY & TOXICOLOGY,1
303,27,PHARMACOLOGY & TOXICOLOGY,0
304,28,PHARMACOLOGY & TOXICOLOGY,3
305,29,PHARMACOLOGY & TOXICOLOGY,5
306,30,PHARMACOLOGY & TOXICOLOGY,3
307,31,PHARMACOLOGY & TOXICOLOGY,3
308,32,PHARMACOLOGY & TOXICOLOGY,0
309,33,PHARMACOLOGY & TOXICOLOGY,1
310,34,PHARMACOLOGY & TOXICOLOGY,20
311,35,PHARMACOLOGY & TOXICOLOGY,0
312,36,PHARMACOLOGY & TOXICOLOGY,1
313,37,PHARMACOLOGY & TOXICOLOGY,3
314,38,PHARMACOLOGY & TOXICOLOGY,0
315,39,PHARMACOLOGY & TOXICOLOGY,1
316,40,PHARMACOLOGY & TOXICOLOGY,0
317,41,PHARMACOLOGY & TOXICOLOGY,2
318,42,PHARMACOLOGY & TOXICOLOGY,15
319,43,PHARMACOLOGY & TOXICOLOGY,0
320,44,PHARMACOLOGY & TOXICOLOGY,0
321,45,PHARMACOLOGY & TOXICOLOGY,1
322,46,PHARMACOLOGY & TOXICOLOGY,1
323,47,PHARMACOLOGY & TOXICOLOGY,3
324,48,PHARMACOLOGY & TOXICOLOGY,2
325,49,PHARMACOLOGY & TOXICOLOGY,8
326,50,PHARMACOLOGY & TOXICOLOGY,5
327,51,PHARMACOLOGY & TOXICOLOGY,2
328,52,PHARMACOLOGY & TOXICOLOGY,0
329,53,PHARMACOLOGY & TOXICOLOGY,1
330,54,PHARMACOLOGY & TOXICOLOGY,0
331,55,PHARMACOLOGY & TOXICOLOGY,0
332,56,PHARMACOLOGY & TOXICOLOGY,4
333,57,PHARMACOLOGY & TOXICOLOGY,5
334,58,PHARMACOLOGY & TOXICOLOGY,0
335,59,PHARMACOLOGY & TOXICOLOGY,0
336,60,PHARMACOLOGY & TOXICOLOGY,4
337,61,PHARMACOLOGY & TOXICOLOGY,0
338,62,PHARMACOLOGY & TOXICOLOGY,6
339,63,PHARMACOLOGY & TOXICOLOGY,0
340,64,PHARMACOLOGY & TOXICOLOGY,1
341,65,PHARMACOLOGY & TOXICOLOGY,1
342,66,PHARMACOLOGY & TOXICOLOGY,0
343,67,PHARMACOLOGY & TOXICOLOGY,1
344,68,PHARMACOLOGY & TOXICOLOGY,2
345,0,ECONOMICS & BUSINESS,0
346,1,ECONOMICS & BUSINESS,0
347,2,ECONOMICS & BUSINESS,0
348,3,ECONOMICS & BUSINESS,0
349,4,ECONOMICS & BUSINESS,0
350,5,ECONOMICS & BUSINESS,0
351,6,ECONOMICS & BUSINESS,0
352,7,ECONOMICS & BUSINESS,0
353,8,ECONOMICS & BUSINESS,0
354,9,ECONOMICS & BUSINESS,0
355,10,ECONOMICS & BUSINESS,0
356,11,ECONOMICS & BUSINESS,0
357,12,ECONOMICS & BUSINESS,0
358,13,ECONOMICS & BUSINESS,0
359,14,ECONOMICS & BUSINESS,0
360,15,ECONOMICS & BUSINESS,0
361,16,ECONOMICS & BUSINESS,0
362,17,ECONOMICS & BUSINESS,0
363,18,ECONOMICS & BUSINESS,0
