,Topic,Discipline,Quantity
399,15,PSYCHIATRY/PSYCHOLOGY,0
400,16,PSYCHIATRY/PSYCHOLOGY,0
401,17,PSYCHIATRY/PSYCHOLOGY,0
402,18,PSYCHIATRY/PSYCHOLOGY,0
403,19,PSYCHIATRY/PSYCHOLOGY,0
404,20,PSYCHIATRY/PSYCHOLOGY,0
405,21,PSYCHIATRY/PSYCHOLOGY,0
406,22,PSYCHIATRY/PSYCHOLOGY,1
407,23,PSYCHIATRY/PSYCHOLOGY,22
408,24,PSYCHIATRY/PSYCHOLOGY,0
409,25,PSYCHIATRY/PSYCHOLOGY,0
410,26,PSYCHIATRY/PSYCHOLOGY,0
411,27,PSYCHIATRY/PSYCHOLOGY,0
412,28,PSYCHIATRY/PSYCHOLOGY,0
413,29,PSYCHIATRY/PSYCHOLOGY,0
414,30,PSYCHIATRY/PSYCHOLOGY,0
415,31,PSYCHIATRY/PSYCHOLOGY,0
416,32,PSYCHIATRY/PSYCHOLOGY,0
417,33,PSYCHIATRY/PSYCHOLOGY,0
418,34,PSYCHIATRY/PSYCHOLOGY,0
419,35,PSYCHIATRY/PSYCHOLOGY,0
420,36,PSYCHIATRY/PSYCHOLOGY,0
421,37,PSYCHIATRY/PSYCHOLOGY,0
422,38,PSYCHIATRY/PSYCHOLOGY,0
423,39,PSYCHIATRY/PSYCHOLOGY,1
424,40,PSYCHIATRY/PSYCHOLOGY,0
425,41,PSYCHIATRY/PSYCHOLOGY,1
426,42,PSYCHIATRY/PSYCHOLOGY,1
427,43,PSYCHIATRY/PSYCHOLOGY,0
428,44,PSYCHIATRY/PSYCHOLOGY,0
429,45,PSYCHIATRY/PSYCHOLOGY,0
430,46,PSYCHIATRY/PSYCHOLOGY,3
431,47,PSYCHIATRY/PSYCHOLOGY,0
432,0,PLANT & ANIMAL SCIENCE,29
433,1,PLANT & ANIMAL SCIENCE,946
434,2,PLANT & ANIMAL SCIENCE,4
435,3,PLANT & ANIMAL SCIENCE,111
436,4,PLANT & ANIMAL SCIENCE,9
437,5,PLANT & ANIMAL SCIENCE,0
438,6,PLANT & ANIMAL SCIENCE,4
439,7,PLANT & ANIMAL SCIENCE,1
440,8,PLANT & ANIMAL SCIENCE,0
441,9,PLANT & ANIMAL SCIENCE,2
442,10,PLANT & ANIMAL SCIENCE,22
443,11,PLANT & ANIMAL SCIENCE,15
444,12,PLANT & ANIMAL SCIENCE,0
445,13,PLANT & ANIMAL SCIENCE,0
446,14,PLANT & ANIMAL SCIENCE,2
447,15,PLANT & ANIMAL SCIENCE,49
448,16,PLANT & ANIMAL SCIENCE,4
449,17,PLANT & ANIMAL SCIENCE,5
450,18,PLANT & ANIMAL SCIENCE,0
451,19,PLANT & ANIMAL SCIENCE,1
452,20,PLANT & ANIMAL SCIENCE,0
453,21,PLANT & ANIMAL SCIENCE,131
454,22,PLANT & ANIMAL SCIENCE,17
455,23,PLANT & ANIMAL SCIENCE,1
456,24,PLANT & ANIMAL SCIENCE,0
457,25,PLANT & ANIMAL SCIENCE,1
458,26,PLANT & ANIMAL SCIENCE,0
459,27,PLANT & ANIMAL SCIENCE,0
460,28,PLANT & ANIMAL SCIENCE,17
461,29,PLANT & ANIMAL SCIENCE,3
462,30,PLANT & ANIMAL SCIENCE,1
463,31,PLANT & ANIMAL SCIENCE,5
464,32,PLANT & ANIMAL SCIENCE,0
465,33,PLANT & ANIMAL SCIENCE,0
466,34,PLANT & ANIMAL SCIENCE,0
467,35,PLANT & ANIMAL SCIENCE,0
468,36,PLANT & ANIMAL SCIENCE,1
469,37,PLANT & ANIMAL SCIENCE,0
470,38,PLANT & ANIMAL SCIENCE,0
471,39,PLANT & ANIMAL SCIENCE,1
472,40,PLANT & ANIMAL SCIENCE,1
473,41,PLANT & ANIMAL SCIENCE,12
474,42,PLANT & ANIMAL SCIENCE,0
475,43,PLANT & ANIMAL SCIENCE,0
476,44,PLANT & ANIMAL SCIENCE,0
477,45,PLANT & ANIMAL SCIENCE,0
478,46,PLANT & ANIMAL SCIENCE,1
479,47,PLANT & ANIMAL SCIENCE,0
480,0,"SOCIAL SCIENCES, GENERAL",8
481,1,"SOCIAL SCIENCES, GENERAL",2
482,2,"SOCIAL SCIENCES, GENERAL",42
483,3,"SOCIAL SCIENCES, GENERAL",4
484,4,"SOCIAL SCIENCES, GENERAL",3
485,5,"SOCIAL SCIENCES, GENERAL",0
486,6,"SOCIAL SCIENCES, GENERAL",0
487,7,"SOCIAL SCIENCES, GENERAL",1
488,8,"SOCIAL SCIENCES, GENERAL",0
489,9,"SOCIAL SCIENCES, GENERAL",8
490,10,"SOCIAL SCIENCES, GENERAL",0
491,11,"SOCIAL SCIENCES, GENERAL",0
492,12,"SOCIAL SCIENCES, GENERAL",0
493,13,"SOCIAL SCIENCES, GENERAL",0
494,14,"SOCIAL SCIENCES, GENERAL",0
495,15,"SOCIAL SCIENCES, GENERAL",3
496,16,"SOCIAL SCIENCES, GENERAL",0
497,17,"SOCIAL SCIENCES, GENERAL",0
498,18,"SOCIAL SCIENCES, GENERAL",0
499,19,"SOCIAL SCIENCES, GENERAL",0
500,20,"SOCIAL SCIENCES, GENERAL",0
501,21,"SOCIAL SCIENCES, GENERAL",0
502,22,"SOCIAL SCIENCES, GENERAL",2
503,23,"SOCIAL SCIENCES, GENERAL",0
504,24,"SOCIAL SCIENCES, GENERAL",2
505,25,"SOCIAL SCIENCES, GENERAL",0
506,26,"SOCIAL SCIENCES, GENERAL",0
507,27,"SOCIAL SCIENCES, GENERAL",0
508,28,"SOCIAL SCIENCES, GENERAL",0
509,29,"SOCIAL SCIENCES, GENERAL",0
510,30,"SOCIAL SCIENCES, GENERAL",1
511,31,"SOCIAL SCIENCES, GENERAL",0
512,32,"SOCIAL SCIENCES, GENERAL",0
