,Topic,Discipline,Quantity
269,41,PHARMACOLOGY & TOXICOLOGY,0
270,42,PHARMACOLOGY & TOXICOLOGY,4
271,43,PHARMACOLOGY & TOXICOLOGY,0
272,44,PHARMACOLOGY & TOXICOLOGY,5
273,45,PHARMACOLOGY & TOXICOLOGY,1
274,46,PHARMACOLOGY & TOXICOLOGY,1
275,47,PHARMACOLOGY & TOXICOLOGY,0
276,48,PHARMACOLOGY & TOXICOLOGY,0
277,49,PHARMACOLOGY & TOXICOLOGY,7
278,50,PHARMACOLOGY & TOXICOLOGY,4
279,51,PHARMACOLOGY & TOXICOLOGY,0
280,52,PHARMACOLOGY & TOXICOLOGY,3
281,53,PHARMACOLOGY & TOXICOLOGY,1
282,54,PHARMACOLOGY & TOXICOLOGY,1
283,55,PHARMACOLOGY & TOXICOLOGY,0
284,56,PHARMACOLOGY & TOXICOLOGY,7
285,0,ECONOMICS & BUSINESS,0
286,1,ECONOMICS & BUSINESS,0
287,2,ECONOMICS & BUSINESS,0
288,3,ECONOMICS & BUSINESS,0
289,4,ECONOMICS & BUSINESS,0
290,5,ECONOMICS & BUSINESS,0
291,6,ECONOMICS & BUSINESS,0
292,7,ECONOMICS & BUSINESS,1
293,8,ECONOMICS & BUSINESS,0
294,9,ECONOMICS & BUSINESS,0
295,10,ECONOMICS & BUSINESS,1
296,11,ECONOMICS & BUSINESS,0
297,12,ECONOMICS & BUSINESS,0
298,13,ECONOMICS & BUSINESS,0
299,14,ECONOMICS & BUSINESS,0
300,15,ECONOMICS & BUSINESS,0
301,16,ECONOMICS & BUSINESS,0
302,17,ECONOMICS & BUSINESS,0
303,18,ECONOMICS & BUSINESS,0
304,19,ECONOMICS & BUSINESS,0
305,20,ECONOMICS & BUSINESS,0
306,21,ECONOMICS & BUSINESS,0
307,22,ECONOMICS & BUSINESS,0
308,23,ECONOMICS & BUSINESS,0
309,24,ECONOMICS & BUSINESS,0
310,25,ECONOMICS & BUSINESS,0
311,26,ECONOMICS & BUSINESS,0
312,27,ECONOMICS & BUSINESS,0
313,28,ECONOMICS & BUSINESS,0
314,29,ECONOMICS & BUSINESS,0
315,30,ECONOMICS & BUSINESS,0
316,31,ECONOMICS & BUSINESS,0
317,32,ECONOMICS & BUSINESS,0
318,33,ECONOMICS & BUSINESS,0
319,34,ECONOMICS & BUSINESS,0
320,35,ECONOMICS & BUSINESS,0
321,36,ECONOMICS & BUSINESS,0
322,37,ECONOMICS & BUSINESS,0
323,38,ECONOMICS & BUSINESS,0
324,39,ECONOMICS & BUSINESS,0
325,40,ECONOMICS & BUSINESS,0
326,41,ECONOMICS & BUSINESS,0
327,42,ECONOMICS & BUSINESS,0
328,43,ECONOMICS & BUSINESS,0
329,44,ECONOMICS & BUSINESS,0
330,45,ECONOMICS & BUSINESS,0
331,46,ECONOMICS & BUSINESS,0
332,47,ECONOMICS & BUSINESS,0
333,48,ECONOMICS & BUSINESS,0
334,49,ECONOMICS & BUSINESS,0
335,50,ECONOMICS & BUSINESS,0
336,51,ECONOMICS & BUSINESS,0
